1,0,"""longitude""","""latitude""
"
1,1,-117.87263606131827,"33.96736642019659
"
1,2,-117.93116222637565,"33.89905892597448
"
1,3,-117.91453000913442,"33.88201684127973
"
1,4,-117.99916973014541,"33.933609583999704
"
1,5,-117.90395570897056,"33.99088164849529
"
1,6,-117.89912707363813,"33.798059300796595
"
1,7,-117.90195732735383,"33.81865840971539
"
1,8,-118.16351487176658,"33.8888069450052
"
1,9,-118.02422689455078,"33.88778244938285
"
1,10,-117.9306737058042,"33.88789131741338
"
1,11,-117.9534879400439,"33.845596549984016
"
1,12,-118.16669773802687,"33.99033013836332
"
1,13,-117.90677240812742,"33.985448791029455
"
1,14,-117.9400404530653,"33.91298579721281
"
1,15,-117.86377949577636,"33.88852826345975
"
1,16,-118.16856145028459,"33.80386674377525
"
1,17,-117.91243263296191,"33.87929919261172
"
1,18,-118.03982021098851,"33.83549300819226
"
1,19,-118.21130219649271,"33.98546397799126
"
1,20,-117.94370215293101,"33.88129446687109
"
1,21,-118.06069342203803,"33.87873769818314
"
1,22,-118.00912828150176,"33.85049672838223
"
1,23,-118.19310924362046,"33.96590185619953
"
1,24,-118.10719939601816,"33.99079770386666
"
1,25,-117.8776927544538,"33.84428355472355
"
1,26,-118.0067030052723,"33.869163982586976
"
1,27,-118.18763574549263,"34.0008223017977
"
1,28,-118.15409830177492,"33.91681127446064
"
1,29,-117.86353996360646,"33.87466554985061
"
1,30,-118.1106991069085,"33.80084600334072
"
1,31,-118.19336110953337,"33.962413206402964
"
1,32,-118.05219903292182,"33.95180428426157
"
1,33,-117.93208673745352,"33.90205414675893
"
1,34,-118.11736326389814,"33.82494082409516
"
1,35,-117.98314232637917,"33.82446688580042
"
1,36,-118.00631119648942,"33.87006493129622
"
1,37,-118.0760811025092,"33.829605520383204
"
1,38,-117.97873424474558,"33.84933043636928
"
1,39,-118.17621935506035,"33.938683421926214
"
1,40,-118.17809860467774,"33.81462300571455
"
1,41,-117.89120818729735,"33.81128423653925
"
1,42,-118.0812030729544,"33.97350846402266
"
1,43,-118.13062878678943,"33.91413836534462
"
1,44,-117.8676905347173,"33.99366379966376
"
1,45,-117.89721540687383,"33.87432294598026
"
1,46,-117.86230983215968,"33.820203920113954
"
1,47,-117.90953012416516,"33.88353767462894
"
1,48,-118.17306850072076,"33.88689061529245
"
1,49,-117.87386289256852,"33.86029618426987
"
1,50,-118.14253050613975,"33.85092329718464
"
1,51,-118.19284015350658,"33.99246205769754
"
1,52,-118.04501205991897,"33.97877265828274
"
1,53,-117.88690081211877,"33.92015299518166
"
1,54,-117.86095148884378,"33.964938699682065
"
1,55,-118.02717365384954,"33.969547056959925
"
1,56,-117.89545648667105,"33.793413244873044
"
1,57,-118.19279157547207,"33.98931246972817
"
1,58,-118.10676052692418,"33.99820709516337
"
1,59,-117.93161354215812,"33.83335066476284
"
1,60,-118.06690301728824,"33.82592750223648
"
1,61,-118.05734936402717,"33.85742960516185
"
1,62,-118.18956320658033,"33.85170278665083
"
1,63,-118.0115792804782,"33.957686464268825
"
1,64,-117.88770907586454,"33.79396506490943
"
1,65,-118.18165256605052,"33.85253192800537
"
1,66,-118.02144003952615,"33.83447440192875
"
1,67,-117.94795990741996,"33.82860672275324
"
1,68,-117.87024836314613,"34.005647212633086
"
1,69,-118.1327043257713,"33.814136797886576
"
1,70,-118.1353539405865,"33.840141151280754
"
1,71,-118.02930478471066,"33.9896958208055
"
1,72,-117.9035298828214,"33.96765230603339
"
1,73,-118.03800891609121,"33.83844210823348
"
1,74,-118.17989641094776,"33.83496906789711
"
1,75,-118.18974189793701,"33.88722630541855
"
1,76,-118.09021677522112,"33.82030802515186
"
1,77,-117.96821107069549,"33.861558603956155
"
1,78,-117.98865421039025,"33.95735042739343
"
1,79,-117.94130737033672,"33.96760784001317
"
1,80,-117.88253778666274,"33.92800343814011
"
1,81,-118.13297385080567,"33.84356080561845
"
1,82,-117.89182159197583,"33.94286547395094
"
1,83,-117.87981123914125,"33.821556963320354
"
1,84,-118.14355767972465,"33.85524939518607
"
1,85,-118.05680557909089,"33.95843150478161
"
1,86,-118.04579757506615,"33.78793519240276
"
1,87,-118.07698809234765,"33.9739030916507
"
1,88,-118.13821623935841,"33.80862423391133
"
1,89,-118.05845852986833,"33.95763092410994
"
1,90,-118.184337882555,"33.981178198221706
"
1,91,-117.87167700882338,"33.86893725824176
"
1,92,-118.12614226036521,"33.94077079529514
"
1,93,-118.11288637416271,"33.7937436369857
"
1,94,-117.88212326079093,"33.8585302450177
"
1,95,-117.884365726763,"33.924518659374954
"
1,96,-118.15092909522117,"33.96049023808435
"
1,97,-118.05749700374628,"33.88995768141666
"
1,98,-117.99028389161222,"33.94525379941011
"
1,99,-118.0413932010926,"33.95220621604342
"
1,100,-118.09494307529143,"33.98660697470782
"
1,101,-117.91098094223241,"33.98677135782456
"
1,102,-118.10379222801888,"33.89649668660929
"
1,103,-118.03988402694324,"33.83204718859229
"
1,104,-118.14748673793905,"33.84087555886881
"
1,105,-118.10499265911687,"33.87535782449154
"
1,106,-118.06721007678055,"33.791325066924266
"
1,107,-118.08004442896075,"33.8557299354678
"
1,108,-117.96253424705662,"33.858394408344225
"
1,109,-117.88714997106578,"33.909560344817976
"
1,110,-118.03376509584287,"33.898278165591364
"
1,111,-117.95275861601309,"33.880488535090166
"
1,112,-118.20459446150103,"33.959546497710626
"
1,113,-118.1231277617456,"33.945908557646824
"
1,114,-118.06866525071443,"33.9864591553778
"
1,115,-118.11166956204244,"33.88239368106122
"
1,116,-118.15125546996858,"33.92580312720447
"
1,117,-118.16847261669945,"33.81514598768259
"
1,118,-117.89787508372419,"33.8488224268572
"
1,119,-118.1475185335819,"33.80775920931186
"
1,120,-117.96786646359499,"33.82031156794084
"
1,121,-117.97394883648158,"33.99322645966871
"
1,122,-118.06589913612332,"33.980072916739
"
1,123,-118.2109833772923,"33.81226793019731
"
1,124,-117.89471185278087,"33.93987840081275
"
1,125,-117.99944953432761,"33.80532183541683
"
1,126,-117.93020987784526,"33.910941369229846
"
1,127,-118.15109769352833,"33.8301238698263
"
1,128,-118.11785013990082,"33.912729934224075
"
1,129,-118.07852961139302,"33.82175718549761
"
1,130,-118.11697653478645,"33.990235212547006
"
1,131,-118.07656386565407,"33.976928660051115
"
1,132,-118.14888175400556,"33.80743013596808
"
1,133,-118.10619472947475,"33.90861258020546
"
1,134,-118.08186331430477,"33.953669513492976
"
1,135,-118.1180837899427,"33.86278817356636
"
1,136,-118.01573664930893,"33.998828917824305
"
1,137,-118.02969871897533,"33.831245917439276
"
1,138,-118.15504970748773,"33.87715309986299
"
1,139,-118.2009640421263,"33.96078055745106
"
1,140,-118.12431807919467,"33.97670445643889
"
1,141,-117.99124741405852,"34.002261342335636
"
1,142,-118.03472409382321,"33.83310619706535
"
1,143,-118.13006126557752,"33.81255882609519
"
1,144,-117.92074547233113,"33.79379802834002
"
1,145,-118.2089553715511,"33.837413075008
"
1,146,-118.10812251151393,"33.933292145329325
"
1,147,-118.04354498238655,"33.85552998036533
"
1,148,-117.88179565528796,"33.89914923007936
"
1,149,-117.8833981180717,"34.001484495476134
"
1,150,-118.14802093672517,"33.91072043547078
"
1,151,-117.944401690695,"33.82273562302806
"
1,152,-118.08462288667674,"33.994788430363975
"
1,153,-117.89331450350069,"33.97732158493193
"
1,154,-118.10796294208536,"33.97277594945447
"
1,155,-118.19986466738997,"33.82556006653673
"
1,156,-118.12609007056717,"33.815927150927166
"
1,157,-117.9460445214262,"33.85571814795348
"
1,158,-117.97424137155555,"33.89314995213194
"
1,159,-118.19471305888901,"33.93054857944903
"
1,160,-118.20383866479534,"33.79212529056596
"
1,161,-117.89781909805609,"33.823851377795634
"
1,162,-118.13135909555648,"33.81232285888177
"
1,163,-117.94414117966109,"33.905072531983016
"
1,164,-118.15394854311381,"33.87728338476531
"
1,165,-118.0123214375305,"34.00450211963658
"
1,166,-118.01300396034827,"33.842762880997476
"
1,167,-118.1281819418302,"33.894361151517955
"
1,168,-117.99946658306435,"33.9655611056539
"
1,169,-117.94766191975124,"33.80580130627541
"
1,170,-117.87342626103221,"33.83008444939004
"
1,171,-117.92427475717902,"33.81232517904506
"
1,172,-118.14723001099495,"33.93248571617492
"
1,173,-118.12806176121525,"33.92980219321934
"
1,174,-118.04090550934272,"33.8420830404755
"
1,175,-118.14329623437584,"33.902773486751045
"
1,176,-117.9186001954696,"33.821062399368294
"
1,177,-118.01104156024762,"33.95698008800795
"
1,178,-118.13400459091756,"33.968156742341385
"
1,179,-117.99497145200621,"33.891711235815286
"
1,180,-118.08352703034097,"33.79316131613006
"
1,181,-118.0370470539196,"33.82324236902052
"
1,182,-118.0196913327436,"33.996697904049604
"
1,183,-117.97522475563129,"33.885676169689965
"
1,184,-117.92258289507102,"33.83978587495512
"
1,185,-118.06758490014218,"33.97088009855625
"
1,186,-118.12373290743544,"33.942227611341956
"
1,187,-118.00593490066343,"33.85253099815338
"
1,188,-118.19827492024041,"33.95023550886333
"
1,189,-118.05450624026452,"33.79524636416444
"
1,190,-118.10836814601197,"33.91759080674236
"
1,191,-117.99360589519549,"33.99000194550289
"
1,192,-117.97894893348786,"33.82252513036834
"
1,193,-117.90454599935218,"33.849886808930925
"
1,194,-118.05163849544769,"33.97829895460424
"
1,195,-117.93144377127676,"33.78810084859962
"
1,196,-117.8871956643114,"33.88210856530854
"
1,197,-118.08042353465846,"33.83334326047877
"
1,198,-117.86161746503448,"33.9209659528386
"
1,199,-117.86110891922286,"33.84854533889458
"
1,200,-117.86622272592096,"33.84523408591106
"
1,201,-117.87079964769548,"33.83905369334112
"
1,202,-118.16408600127099,"33.92467087670514
"
1,203,-118.16334697004304,"33.97323021202122
"
1,204,-118.12150323533432,"33.95398309875787
"
1,205,-118.0209644123306,"33.95430388911674
"
