"longitude"|"latitude"
-118.5030395|33.6992633
-118.5001217|33.7099383
-118.5001217|33.7099383
-118.5036306|33.711219799999995
-118.5036306|33.711545799999996
-118.4586715|33.7121603
-118.5049066|33.712189699999996
-118.5039496|33.712195799999996
-118.4484735|33.712877399999996
-118.5071397|33.7131533
-118.5071397|33.7131533
-118.5071397|33.7131533
-118.5071397|33.7131533
-118.5071397|33.7147836
-118.5071397|33.7147836
-118.5071397|33.7147836
-118.5071397|33.7147836
-118.5071397|33.7147836
-118.5071397|33.7147836
-118.5071397|33.7147836
-118.5071397|33.7147836
-118.5071397|33.7147836
-118.5071397|33.7147836
-118.5071397|33.7147836
-118.5071397|33.7147836
-118.5071397|33.7147836
-118.5071397|33.7147836
-118.5058762|33.7151146
-118.5058636|33.715117899999996
-118.5058636|33.715117899999996
-118.5058636|33.715117899999996
-118.5058636|33.715117899999996
-118.5058636|33.715117899999996
-118.4521647|33.7154735
-118.4965795|33.7163354
-118.5100109|33.716721299999996
-118.4966292|33.716729099999995
-118.4988459|33.7174456
-118.4825811|33.7178763
-118.4813056|33.7182106
-118.4813056|33.7182106
-118.4813056|33.7182106
-118.4945385|33.718401899999996
-118.4596277|33.7186756
-118.5087348|33.718686
-118.513756|33.718750899999996
-118.4806679|33.718866899999995
-118.5068207|33.719024399999995
-118.4516602|33.7190525
-118.5071397|33.7193484
-118.5071397|33.7193484
-118.4503855|33.7193867
-118.4503855|33.7193867
-118.5116061|33.7196456
-118.5128823|33.7202895
-118.5128823|33.7202895
-118.5128823|33.7202895
-118.5071397|33.7203266
-118.5071397|33.7203266
-118.5112871|33.7206259
-118.4456057|33.7207216
-118.5122442|33.720945799999996
-118.5122442|33.720945799999996
-118.5180034|33.7211755
-118.4869849|33.7212059
-118.5112402|33.7213099
-118.5058636|33.721313099999996
-118.5058636|33.721313099999996
-118.5028115|33.721504599999996
-118.5028022|33.7215078
-118.5028018|33.7215092
-118.5028371|33.7215108
-118.4542993|33.7215977
-118.4513914|33.7216672
-118.5020219|33.7217164
-118.5021698|33.7217191
-118.4513333|33.7217514
-118.4515481|33.7217549
-118.4512685|33.7217643
-118.4513135|33.7217744
-118.501336|33.7218006
-118.4512534|33.7218008
-118.4513928|33.7219133
-118.4513692|33.7219204
-118.4513934|33.7219258
-118.4514224|33.7219326
-118.4512567|33.7219508
-118.5077777|33.7219529
-118.45136|33.7219532
-118.4512568|33.721954
-118.5013783|33.7219626
-118.5013783|33.7219626
-118.5013783|33.7219626
-118.5013783|33.7219626
-118.5013783|33.7219626
-118.5013783|33.7219626
-118.5052256|33.7219694
-118.5052256|33.7219694
-118.5052256|33.7219694
-118.5017166|33.7219921
-118.5017166|33.7219921
-118.5017166|33.7219921
-118.5017166|33.7219921
-118.5017166|33.7219921
-118.5017166|33.7219921
-118.5017166|33.7219921
-118.5017166|33.7219921
-118.5017166|33.7219921
-118.5017166|33.7219921
-118.5017166|33.7219921
-118.5017166|33.7219921
-118.5017166|33.7219921
-118.5017166|33.7219921
-118.5017166|33.7219921
-118.5017166|33.7219921
-118.5017166|33.7219921
-118.5014376|33.722003199999996
-118.5025867|33.722041399999995
-118.5016926|33.722052
-118.5015147|33.7220593
-118.5015012|33.7220637
-118.5015598|33.722094
-118.5025175|33.7221094
-118.5025443|33.7221165
-118.5025425|33.7221178
-118.5024655|33.7221229
-118.5017833|33.7221426
-118.5017833|33.7221426
-118.50164960000001|33.7221434
-118.5010582|33.7221559
-118.5008394|33.722162499999996
-118.5018723|33.7221719
-118.5024512|33.7221982
-118.4538903|33.7222017
-118.5014146|33.7222025
-118.4557521|33.7222127
-118.5019754|33.722217199999996
-118.5013416|33.7222177
-118.5015313|33.7222255
-118.5021278|33.7222315
-118.5025101|33.722234799999995
-118.5013578|33.7222382
-118.5014581|33.7222443
-118.5024768|33.7222473
-118.501186|33.7222539
-118.5021893|33.7222599
-118.5015898|33.7222723
-118.500003|33.722273099999995
-118.500003|33.722273099999995
-118.5009833|33.722274299999995
-118.5009833|33.722274299999995
-118.5009796|33.7222763
-118.5009839|33.7222766
-118.5024672|33.7222809
-118.5022328|33.722284599999995
-118.5022336|33.7222996
-118.5020907|33.7223021
-118.5013088|33.7223027
-118.5013162|33.7223028
-118.502196|33.7223056
-118.5009277|33.7223082
-118.5019025|33.7223179
-118.5017166|33.7223182
-118.5017166|33.7223182
-118.5017166|33.7223182
-118.5017166|33.7223182
-118.5017166|33.7223182
-118.5017166|33.7223182
-118.5017166|33.7223182
